,MAINEXITDAY2,TOPLD1DAY2,AISLE1DAY2,PSADAY2,EXHIBITIONDAY2,MAINDAY2,POSTERDAY2,PSBDAY2,WC1DAY2,PSCDAY2,ROOM1DAY2,PSDDAY2,ROOM2DAY2,CIDAY2,CIENTRY1DAY2,BOTLD1DAY2,SERVEDAY2,ROOM3DAY2,ROOM4DAY2,WC2DAY2,CIENTRY2DAY2,CIENTRY3DAY2,CIEXIT1DAY2,CIENTRY4DAY2,EXHEXIT1DAY2,EXHEXIT2DAY2,TOPLD2DAY2,CANTEENDAY2,AISLE2DAY2,WC3DAY2,ROOM6DAY2,ROOM5DAY2,ENTERTAINDAY2,BOTLD2DAY2
11691,0,0,3967,6127,1902,7089,525,2748,471,0,435,0,0,0,0,74,0,0,0,898,0,0,0,0,0,0,0,557,2107,0,0,0,3897,64
13935,0,0,775,0,1303,10882,0,0,0,0,0,0,0,0,0,0,0,479,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14573,0,0,1956,0,153,9011,0,0,0,0,0,0,0,45,0,104,8,0,0,552,0,0,0,0,0,0,0,455,1423,258,0,0,0,84
15342,0,0,3853,1681,1614,10289,1095,2970,0,0,0,0,0,0,0,126,0,0,0,373,0,0,0,0,0,0,0,1395,386,107,0,0,2083,143
18063,0,0,2408,0,437,10386,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18698,0,0,3605,1350,2047,9757,318,0,1292,0,1117,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,1160,629,625,0,0,4142,136
19469,0,0,2600,0,0,7737,8,0,0,0,0,0,0,42,0,37,8,0,0,110,0,0,0,0,0,0,0,0,69,0,0,0,0,34
14632,0,0,2229,0,900,10386,0,0,0,0,0,0,0,43,0,34,0,0,0,286,0,0,0,0,0,0,0,4557,190,308,0,0,0,48
15469,0,0,3392,2786,2145,9197,183,0,462,0,0,0,0,0,0,93,15,561,0,0,0,0,0,0,0,0,0,1591,416,101,0,0,4150,85
17284,0,0,3065,0,3356,9043,996,3484,423,0,868,0,0,0,0,102,7,544,0,214,0,0,0,0,0,0,0,915,503,0,0,0,6719,99
19718,0,0,3338,0,2578,10161,66,8186,0,0,664,0,0,0,0,86,32,0,0,414,0,0,0,0,0,0,0,772,1037,0,0,0,4396,105
19777,0,0,895,0,0,0,0,0,693,0,491,0,0,50,0,80,0,653,0,0,0,0,0,0,0,0,0,975,846,0,0,13646,0,74
11934,0,0,4679,0,4169,8891,108,5923,654,0,908,0,0,0,0,138,7,0,0,106,0,0,0,0,0,0,0,802,632,177,0,0,3426,135
14787,0,0,552,0,0,0,23,0,614,0,506,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,435,204,0,0,25748,0,47
15323,0,0,1297,0,1440,10360,550,0,181,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15536,0,0,4982,2149,1210,9677,611,7022,67,0,621,0,0,45,0,33,0,0,0,0,0,0,0,0,0,0,0,769,271,280,0,0,3551,35
10743,0,0,4527,0,2810,10322,373,5526,209,2249,0,0,0,30,0,158,0,361,0,281,0,0,0,0,0,0,0,571,418,0,0,0,3567,179
13132,0,0,1052,0,997,0,0,0,497,0,0,0,0,0,0,91,140,378,0,172,0,0,0,0,0,0,0,287,321,0,0,19656,0,79
13328,0,0,3196,0,1883,10437,134,0,245,6667,1238,0,0,0,0,108,0,0,0,125,0,0,0,0,0,0,0,1287,424,101,0,0,5427,127
10628,0,0,1943,0,1948,10424,719,0,411,4390,1437,0,0,0,0,166,110,694,0,137,0,0,0,0,0,0,0,1339,1600,283,0,0,4538,148
11089,0,0,1573,0,513,9007,0,0,0,0,0,0,0,0,0,57,0,509,0,80,0,0,0,0,0,0,0,409,108,0,0,0,0,41
12823,0,0,1923,0,1280,10290,803,0,359,8374,0,0,0,8,0,201,0,0,0,0,0,0,0,0,0,0,0,1058,805,601,0,0,5344,194
16433,0,0,3436,0,0,10990,477,26,673,0,1089,0,0,44,0,106,0,592,0,277,0,0,0,0,0,0,0,1053,406,0,0,0,4173,126
16535,0,0,2255,0,197,10316,42,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,1439,1504,0,0,0,239,137
16776,0,0,2577,0,0,10432,0,0,291,0,0,0,0,42,0,77,0,0,0,0,0,0,0,0,0,0,0,0,199,52,0,0,0,71
18895,0,0,4621,0,83,8672,86,5674,0,0,1196,0,0,48,0,93,0,132,0,1082,0,0,0,0,0,0,0,1414,444,303,0,0,6260,89
11123,0,0,4361,0,190,10452,124,0,656,7608,1015,0,0,38,0,112,0,0,0,114,0,0,0,0,0,0,0,1008,462,103,0,0,4991,132
11894,0,0,2305,0,1255,10284,351,0,252,4391,1502,0,0,9,0,159,0,491,0,116,0,0,0,0,0,0,0,5986,471,319,0,0,2633,153
13245,0,0,4403,0,2883,9861,147,4581,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,4644,383,604,0,0,3743,74
13735,0,0,3007,0,0,9589,28,0,479,0,0,0,0,35,0,56,9,448,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,51
15026,0,0,2873,2724,1703,9871,697,6242,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,899,621,96,0,0,5279,192
16258,0,0,1166,0,1453,9106,0,0,78,0,0,0,0,7,0,95,7,0,0,342,0,0,0,0,0,0,0,598,730,0,0,0,0,85
17863,0,0,634,0,0,0,7,0,236,0,1213,0,0,0,0,43,7,0,0,0,0,0,0,0,0,0,0,1180,1520,0,0,14561,0,47
18556,0,0,3124,0,5500,10095,88,7367,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,661,421,541,0,0,3609,104
19261,0,0,1393,0,0,8752,0,0,0,0,0,0,0,40,0,161,0,0,0,249,0,0,0,0,0,0,0,974,1656,0,0,0,258,160
19514,0,0,2999,0,1924,10221,19,0,57,0,0,0,0,0,0,164,29,0,14414,0,0,0,0,0,0,0,0,5215,457,131,0,0,0,151
14870,0,0,3138,5858,1708,8466,1245,2837,422,0,483,0,0,0,0,100,0,138,0,579,0,0,0,0,0,0,0,1635,488,371,0,0,4309,92
15461,0,0,2863,0,3564,9077,664,3440,342,0,1382,0,0,44,0,79,0,563,0,989,0,0,0,0,0,0,0,1232,1337,0,0,0,4160,74
19588,0,0,2472,0,0,0,0,0,621,0,459,0,0,41,0,79,7,614,0,317,0,0,0,0,0,0,0,721,257,0,0,13576,103,77
11433,0,0,3328,0,1441,11176,102,7932,173,0,0,0,0,39,0,33,0,349,0,116,0,0,0,0,0,0,0,1612,377,377,0,0,3213,42
11853,0,0,4898,0,4229,9047,888,1893,0,0,925,0,0,9,0,81,0,0,0,171,0,0,0,0,0,0,0,961,401,69,0,0,3466,71
13021,0,0,2211,0,4210,9921,238,0,786,0,938,0,0,41,0,100,23,0,0,403,0,0,0,0,0,0,0,1235,473,204,0,0,5011,96
14132,0,0,3585,0,265,10253,27,0,159,4754,1236,0,0,50,0,138,0,0,0,0,0,0,0,0,0,0,0,1432,750,770,0,0,7429,153
19888,0,0,1258,0,1563,9626,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,256,53,0,0,475,45
13746,0,0,1493,0,0,0,7,0,315,0,0,0,0,51,0,35,0,0,0,0,0,0,0,0,0,0,0,750,190,64,0,20465,0,29
14261,0,0,5206,0,470,10571,69,0,633,1555,1245,0,0,0,0,32,0,197,0,199,0,0,0,0,0,0,0,1338,221,252,0,0,4560,47
15330,0,0,2856,0,1705,10161,523,0,718,0,0,9649,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,1323,368,0,0,0,4403,150
15539,0,0,341,0,1319,0,0,0,432,0,0,0,0,46,0,84,0,0,0,0,0,0,0,0,0,0,0,325,217,0,0,28711,0,75
16253,0,0,2895,1756,1086,10704,139,0,661,6638,615,0,0,0,0,139,17,0,0,0,0,0,0,0,0,0,0,809,530,434,0,0,4720,125
17874,0,0,2055,0,0,0,9,0,0,0,442,0,0,0,0,104,7,0,0,751,0,0,0,0,0,0,0,1230,247,0,0,18912,0,86
10147,0,0,2005,2865,1469,10642,823,0,536,6127,0,0,0,44,0,103,9,0,0,0,0,0,0,0,0,0,0,998,502,769,0,0,4018,122
10526,0,0,2832,0,2186,10114,2055,4243,583,0,1648,0,0,45,0,222,0,0,0,0,0,0,0,0,0,0,0,1772,507,0,0,0,4145,211
10858,0,0,3580,1054,840,8734,190,0,356,7722,552,0,0,0,0,150,21,476,0,1285,0,0,0,0,0,0,0,498,1860,339,0,0,3607,139
11069,0,0,2554,2615,892,10327,698,6822,446,0,0,0,0,46,0,95,0,619,0,244,0,0,0,0,0,0,0,1419,386,87,0,0,4416,92
11637,0,0,1494,0,1392,9710,33,0,89,0,0,0,0,0,0,46,7,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
11836,0,0,3784,0,3735,9086,468,0,495,4844,1137,0,0,0,0,127,0,716,0,0,0,0,0,0,0,0,0,723,419,398,0,0,4925,110
15140,0,0,949,0,1332,9700,0,0,0,0,0,0,0,0,0,105,0,0,0,245,0,0,0,0,0,0,0,568,317,313,0,0,0,93
17768,0,0,3804,0,43,9463,568,6538,0,0,0,0,0,0,0,211,38,131,0,0,0,0,0,0,0,0,0,1758,817,273,0,0,4589,202
19962,0,0,3828,1926,7922,11257,583,0,139,0,1966,0,0,0,0,123,0,0,0,635,0,0,0,0,0,0,0,1676,242,0,0,0,289,100
14087,0,0,900,0,1567,9793,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,270,98,0,0,500,45
15632,0,0,2538,0,0,10049,871,5593,246,0,707,0,0,0,0,172,0,538,0,205,0,0,0,0,0,0,0,751,1664,398,0,0,2328,163
18233,0,0,2190,2656,1386,10384,1165,0,0,5475,0,0,0,45,0,169,0,0,0,449,0,0,0,0,0,0,0,649,673,354,0,0,5560,164
19149,0,0,565,0,0,0,1387,0,487,0,709,0,0,46,0,40,0,0,0,0,0,0,0,0,0,0,0,614,197,0,0,15167,0,40
12252,0,0,2334,0,2297,10777,1116,5592,562,0,989,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,1335,2215,689,0,0,2499,152
13219,0,0,1935,0,1270,8719,8,0,114,0,0,0,0,48,0,125,7,276,0,169,0,0,0,0,0,0,0,185,288,0,0,0,107,111
14256,0,0,1062,0,961,0,21,0,737,0,468,0,0,0,0,78,24,566,0,417,0,0,0,0,0,0,0,528,199,0,0,19019,0,72
16601,0,0,3087,0,1855,9781,89,5245,584,0,1297,0,0,47,0,120,0,0,0,356,0,0,0,0,0,0,0,1312,478,451,0,0,5951,104
17623,0,0,1253,0,1327,7703,1447,0,0,0,0,0,0,36,0,34,0,547,0,0,0,0,0,0,0,0,0,591,117,0,0,0,0,27
10785,0,0,3394,0,4496,10292,121,0,286,6335,872,0,0,0,0,113,0,525,0,78,0,0,0,0,0,0,0,604,365,0,0,0,4050,134
10818,0,0,3059,0,255,8757,15,0,0,0,0,0,0,44,0,34,7,0,0,770,0,0,0,0,0,0,0,1462,128,0,0,0,0,25
12620,0,0,2242,0,3849,10684,116,5507,314,0,1118,0,0,44,0,94,0,516,0,0,0,0,0,0,0,0,0,958,501,284,0,0,5217,108
14516,0,0,840,0,2322,9899,0,0,73,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,807,145,0,0,0,0,28
17519,0,0,2041,0,0,10112,7,0,158,0,0,0,0,48,0,0,8,0,0,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18664,0,0,2138,0,274,10943,594,0,0,2732,892,0,0,46,0,170,0,287,0,0,0,0,0,0,0,0,0,3916,1754,471,0,0,5920,159
18674,0,0,3577,0,1592,9591,90,8634,490,0,0,0,0,46,0,111,0,0,0,0,0,0,0,0,0,0,0,1210,506,151,0,0,5411,124
10083,0,0,3323,0,5301,9724,612,0,0,4191,860,0,0,45,0,162,7,0,0,226,0,0,0,0,0,0,0,1018,645,382,0,0,4753,161
10461,0,0,3632,0,1065,9880,122,7310,554,0,106,0,0,0,0,102,0,0,0,284,0,0,0,0,0,0,0,1334,1645,98,0,0,4354,85
10961,0,0,1843,0,1686,10384,687,0,279,0,665,8747,0,0,0,137,0,416,0,137,0,0,0,0,0,0,0,664,415,0,0,0,5113,120
12015,0,0,1506,0,3160,3439,0,0,0,0,0,0,0,49,0,192,0,572,0,0,0,0,0,0,0,0,0,474,2617,0,0,0,720,186
12193,0,0,2379,1477,1094,11031,692,0,214,6357,1208,0,0,0,0,88,0,567,0,235,0,0,0,0,0,0,0,1344,267,262,0,0,3458,65
12463,0,0,1993,0,0,10384,1010,0,242,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13899,0,0,1698,0,3716,9348,1150,5652,370,2243,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,912,722,552,0,0,4720,168
15900,0,0,2541,3749,2370,10268,849,5500,0,0,0,0,0,44,0,83,0,0,0,0,0,0,0,0,0,0,0,0,397,511,0,0,4049,98
15914,0,0,3117,0,0,10380,79,6180,355,2905,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,1066,1811,403,0,0,5036,238
19488,0,0,2313,0,2255,10358,832,2717,0,0,0,0,0,41,0,152,23,0,0,73,0,0,0,0,0,0,0,1073,767,353,0,0,4802,153
10685,0,0,3060,0,0,10230,69,0,115,0,0,0,0,0,0,33,0,328,0,0,0,0,0,0,0,0,0,354,178,270,0,0,0,51
10708,0,0,2787,1026,0,9741,545,5671,186,0,1034,0,0,0,0,160,0,19,0,78,0,0,0,0,0,0,0,1101,1898,98,0,0,6561,148
13553,0,0,1139,0,1533,10376,0,0,0,0,0,0,0,0,0,35,0,507,0,0,0,0,0,0,0,0,0,711,132,0,0,0,0,48
17998,0,0,1546,0,1708,9489,0,0,0,0,0,0,0,0,0,60,0,0,0,258,0,0,0,0,0,0,0,560,138,0,0,0,0,47
18193,0,0,4400,2398,3891,10575,505,5736,252,0,0,0,0,0,0,137,0,0,0,283,0,0,0,0,0,0,0,736,434,0,0,0,1986,155
13936,0,0,3567,3214,7511,7602,2115,0,416,0,517,0,0,0,0,81,8,0,0,555,0,0,0,0,0,0,0,830,447,0,0,0,3705,75
14600,0,0,2100,0,2099,11476,947,0,323,2670,0,0,0,49,0,47,0,0,0,808,0,0,0,0,0,0,0,829,227,0,0,0,4277,72
16913,0,0,2348,0,1524,8762,0,0,0,0,0,0,0,192,0,94,29,0,0,373,0,0,0,0,0,0,0,663,287,0,0,0,0,77
19190,0,0,3748,0,2824,9664,1286,1895,207,0,0,0,0,8,0,95,0,0,0,53,0,0,0,0,0,0,0,502,539,143,0,0,5468,99
19540,0,0,1368,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,29824,0,31
10467,0,0,2936,0,0,11433,61,4136,0,0,0,0,0,0,0,152,0,0,10824,272,0,0,0,0,0,0,0,2442,453,162,0,0,0,161
11864,0,0,1508,0,0,10083,17,0,91,0,0,0,0,45,0,177,0,0,0,0,0,0,0,0,0,0,0,670,1634,516,0,0,318,162
15485,0,0,2890,3137,4411,9183,2421,0,621,0,895,0,0,0,0,143,7,0,0,0,0,0,0,0,0,0,0,1135,535,0,0,0,5222,138
16536,0,0,3009,0,0,9797,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16609,0,0,4741,0,42,9707,759,0,299,31,1449,0,0,45,0,99,0,0,0,0,0,0,0,0,0,0,0,1470,423,280,0,0,6177,107
16862,0,0,2363,0,313,10426,0,0,0,0,0,0,0,0,0,97,7,0,0,0,0,0,0,0,0,0,0,604,330,89,0,0,0,81
11085,0,0,2994,0,2119,10928,4482,4921,371,0,0,0,0,45,0,100,7,0,0,674,0,0,0,0,0,0,0,1207,288,0,0,0,869,109
14077,0,0,3553,3067,4769,9179,736,6189,64,0,0,0,0,43,0,32,0,0,0,350,0,0,0,0,0,0,0,273,303,82,0,0,2639,26
17921,0,0,1730,0,243,9625,1144,0,0,0,0,0,0,47,0,0,0,0,0,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19938,0,0,4358,0,2229,9974,750,0,0,4501,0,0,0,49,0,121,7,440,0,585,0,0,0,0,0,0,0,1186,351,450,0,0,4040,122
10750,0,0,2997,0,2262,10970,194,7518,605,0,863,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,258,607,0,0,464,57
15923,0,0,3664,0,0,8987,401,0,856,0,1429,0,0,46,0,146,0,0,0,0,0,0,0,0,0,0,0,1413,1237,943,0,0,5548,135
16119,0,0,1787,0,10985,9884,776,0,72,0,882,0,0,0,0,79,0,527,0,0,0,0,0,0,0,0,0,498,474,114,0,0,3734,92
17458,0,0,556,0,1424,0,0,0,260,0,757,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,678,209,91,0,25706,0,42
18232,0,0,2508,0,146,9642,33,0,0,0,0,0,0,46,0,58,0,0,0,317,0,0,0,0,0,0,0,288,130,0,0,0,0,46
10367,0,0,3307,0,3714,10494,213,2270,538,4363,106,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,805,444,97,0,0,4047,133
11149,0,0,1981,0,0,9947,0,0,0,0,0,0,0,0,0,112,0,0,0,409,0,0,0,0,0,0,0,1232,1543,0,0,0,0,89
14928,0,0,3130,1156,0,10183,95,0,0,4381,1031,0,0,0,0,285,0,0,0,320,0,0,0,0,0,0,0,1297,773,69,0,0,6379,1548
17567,0,0,3187,0,4449,9976,1006,8016,147,0,0,0,0,0,0,32,0,360,0,966,0,0,0,0,0,0,0,815,167,0,0,0,2325,46
17952,0,0,2614,0,1152,9978,152,0,1352,0,0,6694,0,49,0,229,7,0,0,0,0,0,0,0,0,0,0,941,661,0,0,0,4224,219
13516,0,0,3387,1679,0,10664,1370,2278,408,0,588,0,0,44,0,42,0,360,0,174,0,0,0,0,0,0,0,461,303,253,0,0,3732,48
13533,0,0,1011,0,1249,0,0,0,441,0,475,0,0,0,0,82,9,0,0,0,0,0,0,0,0,0,0,945,329,280,0,18688,0,76
13642,0,0,545,0,962,0,14,0,586,0,520,0,0,7,0,119,7,0,0,0,0,0,0,0,0,0,0,969,389,602,0,13564,0,112
13849,0,0,3085,0,0,10231,587,0,300,5237,0,0,0,45,0,175,20,0,0,0,0,0,0,0,0,0,0,781,2649,461,0,0,5152,172
15405,0,0,4007,2049,2880,10347,189,4493,489,0,575,0,0,0,0,104,0,0,0,404,0,0,0,0,0,0,0,596,616,118,0,0,2703,104
19173,0,0,1997,0,3148,10907,1174,0,493,6042,650,0,0,0,0,33,0,0,0,330,0,0,0,0,0,0,0,0,361,356,0,0,4319,49
11782,0,0,691,0,1271,0,0,0,0,0,840,0,0,0,0,42,7,0,0,226,0,0,0,0,0,0,0,753,291,684,0,24843,114,45
12222,0,0,3066,0,3385,9727,156,0,199,0,0,8302,0,50,0,93,9,543,0,123,0,0,0,0,0,0,0,680,448,256,0,0,3296,107
16233,0,0,2842,0,162,9247,0,0,102,0,0,0,0,46,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17816,0,0,3066,0,4261,8548,1357,0,117,4318,1342,0,0,47,0,219,12,537,0,180,0,0,0,0,0,0,0,1016,660,67,0,0,4790,222
11840,0,0,3174,0,9552,9186,1144,0,640,0,817,0,0,46,0,49,14,0,0,725,0,0,0,0,0,0,0,988,160,0,0,0,4146,27
13039,0,0,3005,0,2975,9777,1137,0,342,10,1074,0,0,0,0,148,16,403,0,136,0,0,0,0,0,0,0,832,533,413,0,0,1488,163
15946,0,0,1693,0,0,0,0,0,487,0,616,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,636,371,588,0,25342,0,149
17179,0,0,1543,0,2959,10112,9,0,0,0,0,0,0,0,0,126,16,124,0,0,0,0,0,0,0,0,0,999,371,399,0,0,295,110
18365,0,0,2789,1581,3019,9957,730,5930,84,0,822,0,0,304,0,185,0,0,0,0,0,0,0,0,0,0,0,782,856,329,0,0,4134,169
19416,0,0,2402,0,2541,10281,924,0,370,2282,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,469,425,0,0,0,5023,106
10117,0,0,4728,8809,138,9812,110,0,569,0,0,0,0,43,0,110,0,0,0,329,0,0,0,0,0,0,0,1022,515,179,0,0,4689,120
11452,0,0,2879,0,1293,10066,412,0,443,6823,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,905,579,74,0,0,6464,174
11984,0,0,2622,0,2615,9931,486,0,0,7482,0,0,0,0,0,157,10,707,0,524,0,0,0,0,0,0,0,448,511,363,0,0,4986,148
15504,0,0,3601,0,0,10864,91,0,416,5033,522,0,0,0,0,217,7,0,0,412,0,0,0,0,0,0,0,810,798,630,0,0,7871,201
16695,0,0,2587,0,0,7745,17,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18170,0,0,2728,0,3749,10805,104,5211,171,0,0,0,0,49,0,140,0,523,0,220,0,0,0,0,0,0,0,1237,490,0,0,0,3609,149
18745,0,0,2578,0,1473,8618,330,0,691,0,0,0,0,0,0,211,0,0,0,234,0,0,0,0,0,0,0,1003,848,1048,0,0,7817,215
19357,0,0,1764,0,3375,4977,10,0,150,0,0,0,0,0,0,170,0,639,0,0,0,0,0,0,0,0,0,23,303,0,0,0,78,1416
11261,0,0,584,0,3551,0,0,0,0,0,0,0,0,49,0,74,7,0,0,198,0,0,0,0,0,0,0,0,2078,0,0,0,88,67
12492,0,0,3864,5867,618,6833,534,2888,275,0,525,0,0,45,0,206,24,412,0,188,0,0,0,0,0,0,0,1158,1395,258,0,0,6061,200
12517,0,0,1262,0,1281,8912,0,0,0,0,0,0,0,0,0,93,0,528,0,330,0,0,0,0,0,0,0,611,250,0,0,0,469,119
17949,0,0,1095,0,553,9348,29,0,0,0,0,0,0,0,0,0,9,86,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10993,0,0,1627,0,4689,9954,0,0,0,0,0,0,0,43,0,34,11,0,0,1026,0,0,0,0,0,0,0,1358,109,0,0,0,0,37
12372,0,0,754,0,273,10519,0,0,0,0,0,0,0,48,0,37,0,536,0,0,0,0,0,0,0,0,0,0,1227,0,0,0,0,28
12615,0,0,2287,2772,993,10219,439,6403,466,0,0,0,0,46,0,103,0,311,0,99,0,0,0,0,0,0,0,1577,298,0,0,0,5310,108
12420,0,0,2140,0,4466,7802,645,3916,366,0,834,0,0,0,0,99,0,286,0,299,0,0,0,0,0,0,0,700,624,474,0,0,7731,92
12548,0,0,1718,0,1121,10142,0,0,0,0,0,0,0,0,0,119,0,0,0,277,0,0,0,0,0,0,0,860,341,111,0,0,0,118
