"","x","y","c","json_data"
"V339",0.438363159843359,-0.672055346436358,1,"19204"
"V340",-2.41786302824903,4.34055449344402,4,"19236"
"V341",-5.33024286242582,4.26570342045715,4,"10331"
"V342",5.24051963814716,-0.487981469292333,2,"11658"
"V343",-5.12614302537049,3.06591300098132,6,"11760"
"V344",-9.37777471239749,-2.73282994386827,5,"11904"
"V345",-0.336841605491081,3.75660066897217,3,"11979"
"V346",3.00065643570523,1.04705591354422,2,"12034"
"V347",4.98459276345028,-1.90004107997764,1,"13966"
"V348",4.58796348491492,-1.1672889664087,1,"14601"
"V349",-0.411760432986697,0.765519023628977,3,"15431"
"V350",1.15582283249162,0.183349013747536,2,"16160"
"V351",-2.48139582141524,1.66635111841861,5,"16212"
"V352",-4.32000355575867,3.52443263175558,4,"17187"
"V353",-2.02059320778279,1.55701537494628,7,"19831"
"V354",-1.17759735180545,1.04532823527935,7,"11923"
"V355",-11.9005020317531,-4.27120791698567,8,"11988"
"V356",-4.01916269675529,4.21285181276056,3,"12443"
"V357",4.05437533236048,-0.448931472180759,2,"13505"
"V358",-5.25613237827882,3.65800429856463,4,"13747"
"V359",4.17106047935014,-0.837768865013022,1,"16790"
"V360",-2.077307962002,1.93991688414989,4,"18395"
"V361",3.89697833417871,-0.919852566250429,1,"18406"
"V362",-9.63032661262796,-1.95734199188476,5,"10123"
"V363",-5.30834386161597,2.96725800482411,4,"10778"
"V364",-5.51297526496264,3.20026090642606,4,"11938"
"V365",6.3053794231338,-1.25260869762609,2,"13272"
"V366",-4.66283058388094,3.08051907399536,5,"13929"
"V367",-6.15878040025643,-2.01117710288701,4,"15176"
"V368",-7.89673995851031,-0.662918091986213,5,"17952"
"V369",-6.105446246502,2.39900194297691,4,"19507"
"V370",-8.15452793536416,-1.09130052831603,4,"19857"
"V371",-5.26494447324893,3.25894072266359,4,"19912"
"V372",-6.50427537150114,-1.7280360099045,4,"19916"
"V373",-8.7140499735178,1.46706174833487,6,"10397"
"V374",-4.14381310018774,3.47806934050931,7,"10711"
"V375",-3.56350061139508,3.62795598950198,7,"11033"
"V376",0.413978394156542,-0.106140769161766,2,"12716"
"V377",0.410021642520437,-0.29665906609672,1,"12900"
"V378",-4.18244452377467,1.40282448461416,7,"13504"
"V379",0.673062941956869,-0.752173712324323,2,"14108"
"V380",-3.56089845109238,3.58550442761458,7,"14802"
"V381",-8.08323737755197,-0.687826778790407,5,"17868"
"V382",-6.18728762910306,3.09467502374277,4,"17902"
"V383",1.19490182886036,2.53675357525714,2,"18607"
"V384",-6.00185654810153,4.13422245434238,5,"19137"
"V385",6.38556857765421,-1.13680752651476,2,"19829"
"V386",-1.3320475757496,5.09453982766268,3,"10205"
"V387",-2.14091431540573,4.65079521918079,3,"10625"
"V388",-6.69868995155959,3.21501305307458,4,"13377"
"V389",-4.39905523178398,3.81190045318959,4,"14041"
"V390",6.30767435887305,-1.28815563928477,2,"15934"
"V391",-2.42843389255997,4.3496079989784,7,"16267"
"V392",-9.19426417599649,-2.45242445617965,8,"17023"
"V393",-5.37011761675917,-2.06471811651101,5,"18265"
"V394",-9.89116668029428,-3.22016064386013,8,"19366"
"V395",-9.09374721122205,-4.97824244504549,8,"10136"
"V396",3.85044172983347,-1.32776491302367,2,"11098"
"V397",-7.40698257276498,-0.0308405170089796,6,"13872"
"V398",-1.20580752501398,4.92905054109123,4,"14928"
"V399",-4.44261939877296,3.82551871546094,3,"19306"
"V400",-4.56407035723185,-0.478696395013375,4,"19343"
"V401",6.58966948115026,-1.01700426574535,2,"19356"
"V402",-6.10996753235605,2.79445030827114,4,"10295"
"V403",-9.14708218726402,-5.58908994335661,6,"11809"
"V404",0.96890738858861,4.39252129870033,3,"11874"
"V405",-4.24169163616643,2.73581597676508,6,"12434"
"V406",6.38605123497408,-1.15411723714183,2,"12674"
"V407",-6.57728540109836,2.19944880741099,4,"12811"
"V408",-7.18126618314446,-0.0111653776832192,5,"17454"
"V409",-4.00178038246832,4.64543263042738,4,"18548"
"V410",5.28183089891141,0.0805633018436926,2,"18678"
"V411",-8.84655833218899,-5.21952389946413,5,"19401"
"V412",4.17486448965798,-0.819861445959006,1,"10046"
"V413",5.21435332071626,-0.489374148334502,2,"14256"
"V414",-8.60228998215058,-2.03797981026236,4,"14420"
"V415",-3.01573335974019,-0.410911735480528,7,"16708"
"V416",0.249248565102657,-1.2352753563621,1,"19490"
"V417",-0.929502273109226,5.72326024727095,3,"11512"
"V418",-5.01900779354637,3.38600090009292,4,"14052"
"V419",1.45706330686958,-0.597252873600185,1,"14547"
"V420",-10.7032889935238,-7.92265384542446,8,"14868"
"V421",-8.45566505145861,-3.99014017908863,4,"14998"
"V422",1.5070858272434,-0.647301880170173,1,"16177"
"V423",-2.42148742320678,4.3195813525952,3,"16208"
"V424",-4.0189783490762,-0.86645352591206,7,"17419"
"V425",-7.96892267693276,-0.712911724111311,5,"19173"
"V426",4.55983275050266,-1.16734568411481,1,"19540"
"V427",-8.39373032078285,-2.35589598979903,4,"11292"
"V428",-4.28736867714031,0.506568801367531,4,"13304"
"V429",-8.17074234023844,-2.88798574544338,4,"13630"
"V430",2.20954789475462,3.60081629079581,3,"13680"
"V431",5.54035324528238,-1.14525486555504,2,"13727"
"V432",-1.48055637802117,2.38723018723425,7,"16473"
"V433",6.57219353048522,-1.10100605311339,2,"17380"
"V434",-4.02207188447742,-1.1455721629777,4,"17445"
"V435",1.57414172949477,3.18338400370456,2,"17798"
"V436",4.14893971155106,-0.717361757253081,1,"18877"
"V437",-6.54222422398523,2.3166496163654,4,"10469"
"V438",4.25116284573895,0.448651822081464,1,"11585"
"V439",-10.5095294980758,-3.36435572115853,8,"12781"
"V440",-2.28591236848908,1.8955700715501,5,"12850"
"V441",-9.47932634948807,-2.95921601449419,4,"13571"
"V442",0.882559347375502,1.49879391327757,1,"18574"
"V443",-0.967689497123273,5.28367342883857,3,"18800"
"V444",-7.16124293004133,0.937735719202036,4,"10320"
"V445",-3.74245683306636,3.17965867506194,3,"12727"
"V446",-3.82946041519559,-1.05786059592588,7,"12813"
"V447",-4.88772077794402,-0.0574242897500057,6,"13813"
"V448",-9.53721335250108,-2.37706474962986,4,"15027"
"V449",5.29854574449996,-0.599413763483584,1,"15366"
"V450",-5.96856137296382,2.43570079846758,4,"16102"
"V451",1.97148810930142,-0.331575598954812,7,"16315"
"V452",-10.9046365680273,-3.38110133978988,4,"17439"
"V453",-6.01137013631763,-2.20206140584519,7,"18315"
"V454",-3.19680120759796,4.20307217297511,3,"12854"
"V455",-4.20862396735426,4.67785066781454,4,"14015"
"V456",-6.27515900595933,-3.33578458096307,4,"15375"
"V457",1.11095714890997,4.15991879066659,3,"16002"
"V458",4.74500959268511,-0.985924876429026,2,"17066"
"V459",-8.00733832725372,-1.02239664501538,5,"18730"
"V460",-7.3519028583452,-3.69159851179511,5,"10955"
"V461",-1.31630276724087,2.51267959602185,1,"13924"
"V462",-6.07812709095933,3.60656800656117,4,"14617"
"V463",4.37105877504669,-0.77580504362213,2,"14724"
"V464",-8.88630162590032,-5.08238658117975,8,"15870"
"V465",1.16945754302306,3.31241941641279,3,"17463"
"V466",-2.58930859974759,2.04259368223028,3,"17961"
"V467",-8.18948946177876,1.48008666761238,4,"10961"
"V468",-4.16705887017014,3.87580283526677,4,"11339"
"V469",-8.77616304673113,-3.85561396330987,5,"12804"
"V470",-7.4537511243891,-0.244146150878947,5,"15680"
"V471",-9.27925032513836,-5.6914303544348,6,"15953"
"V472",-6.93850133825793,-3.01586413459588,5,"16069"
"V473",3.19005708982138,-0.225522350748949,7,"17372"
"V474",-8.82233949223123,-5.11644840978875,5,"17965"
"V475",-6.52131909980991,-2.2980168904427,5,"18734"
"V476",-11.0076755687102,-4.18254154778147,8,"18954"
"V477",-4.70007341934588,4.33408833311838,4,"19472"
"V478",1.4912825601294,-0.41606292298981,1,"11526"
"V479",-2.24616614206687,4.53116259618735,3,"11864"
"V480",-9.23995761299631,-5.89557475846871,8,"13441"
"V481",6.40966766067913,-1.11939246419676,2,"16139"
"V482",-4.48096708512197,3.64544710615565,6,"17603"
"V483",-7.84605643337244,1.45590758303334,4,"18894"
"V484",-8.07320521413519,1.95301814020627,4,"19182"
"V485",-1.14043016636574,5.06821396297311,3,"19640"
"V486",-9.81186979277478,0.530710184467902,4,"15045"
"V487",-2.22372248686195,0.182021488085841,3,"15878"
"V488",-9.42716030643348,-5.97403866215794,8,"16758"
"V489",-3.76143302170944,1.11930475703124,4,"18895"
"V490",6.39378153508224,-1.13929124202729,2,"10409"
"V491",2.38876011116893,0.144801776782758,2,"16017"
"V492",1.32803280557246,-0.354764364528945,2,"18171"
"V493",3.23290823647208,-0.806314441186781,2,"19288"
"V494",-2.30955106277935,4.71117807678142,3,"19415"
"V495",-4.41614421879578,3.91987399008216,4,"19612"
"V496",-6.76368217408157,-3.25343704982583,8,"19842"
