"","TOPLD1DAY1","AISLE1DAY1","PSADAY1","EXHIBITIONDAY1","MAINDAY1","POSTERDAY1","PSBDAY1","WC1DAY1","PSCDAY1","ROOM1DAY1","PSDDAY1","ROOM2DAY1","CIDAY1","BOTLD1DAY1","SERVEDAY1","ROOM3DAY1","ROOM4DAY1","WC2DAY1","CIENTRY4DAY1","TOPLD2DAY1","CANTEENDAY1","AISLE2DAY1","WC3DAY1","ROOM6DAY1","ROOM5DAY1","ENTERTAINDAY1","BOTLD2DAY1","TOPLD1DAY2","AISLE1DAY2","PSADAY2","EXHIBITIONDAY2","MAINDAY2","POSTERDAY2","PSBDAY2","WC1DAY2","PSCDAY2","ROOM1DAY2","PSDDAY2","ROOM2DAY2","CIDAY2","BOTLD1DAY2","SERVEDAY2","ROOM3DAY2","ROOM4DAY2","WC2DAY2","TOPLD2DAY2","CANTEENDAY2","AISLE2DAY2","WC3DAY2","ROOM6DAY2","ROOM5DAY2","ENTERTAINDAY2","BOTLD2DAY2","TOPLD1DAY3","AISLE1DAY3","PSADAY3","EXHIBITIONDAY3","MAINDAY3","POSTERDAY3","PSBDAY3","WC1DAY3","PSCDAY3","ROOM1DAY3","ROOM2DAY3","CIDAY3","BOTLD1DAY3","SERVEDAY3","ROOM3DAY3","ROOM4DAY3","WC2DAY3","TOPLD2DAY3","AISLE2DAY3","WC3DAY3","ROOM6DAY3","ROOM5DAY3","ENTERTAINDAY3","BOTLD2DAY3"
"10056",0,865,0,1287,9679,0,0,0,0,0,0,0,0,43,0,0,0,592,0,0,245,106,0,0,0,0,36,0,3244,0,0,10036,877,5478,272,0,0,0,0,55,111,8,0,0,99,0,0,435,0,0,0,6398,107,0,1871,0,609,8255,0,0,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,0
"10058",0,2825,0,0,11719,145,0,418,8792,0,0,0,0,255,21,0,0,139,0,0,1410,721,703,0,0,3684,253,0,3515,0,2412,8486,441,5021,872,0,1314,0,0,0,99,0,0,0,0,0,1294,545,308,0,0,5098,91,0,1912,0,0,5528,54,2548,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"10060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,3897,0,0,0,0,0,0,0,0,18,0,7,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10062",0,821,0,0,0,283,6214,84,0,0,0,0,26,49,0,0,0,0,0,0,0,141,0,0,0,1799,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,1884,0,748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10070",0,649,0,1144,0,0,0,0,0,0,0,0,60,35,23,0,0,0,0,0,0,1483,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10077",0,3271,0,0,11753,50,0,0,0,0,0,0,28,71,0,0,0,0,0,0,0,0,0,0,0,0,78,0,2118,0,1031,9037,9,0,375,0,0,0,0,0,33,0,0,0,424,0,842,112,0,0,0,0,29,0,1155,0,451,5118,51,3821,271,0,0,0,41,0,0,0,0,119,0,0,0,0,0,0,0
"10078",0,1252,0,0,0,136,9535,62,0,358,0,0,0,90,0,0,0,0,0,0,0,254,45,0,0,1375,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10080",0,1991,0,0,0,75,2665,0,0,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,2967,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1423,0,597,0,66,0,0,5362,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"10081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3341,0,1317,9586,57,0,79,1705,610,6294,0,43,210,24,0,0,0,0,590,851,494,0,0,5572,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10082",0,1188,0,243,11575,0,0,0,0,0,0,0,0,38,0,452,0,202,0,0,0,92,0,0,0,0,35,0,3389,0,372,9658,588,5446,63,0,1316,0,0,47,153,0,440,0,62,0,1397,666,189,0,0,5723,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10083",0,2454,0,1681,8104,516,0,180,0,546,5588,0,0,120,0,0,0,0,0,0,761,396,0,0,0,6892,120,0,3323,0,5301,9724,612,0,0,4191,860,0,0,45,162,7,0,0,226,0,1018,645,382,0,0,4753,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10084",0,1417,0,124,10179,16,0,295,0,0,0,0,30,140,24,340,0,0,0,0,452,338,0,0,0,115,139,0,2236,0,1047,10198,171,5458,1213,0,0,0,0,49,156,0,0,0,0,0,872,463,0,0,0,2349,188,0,1437,0,246,5393,24,2491,322,0,455,0,29,39,0,0,0,0,0,139,335,0,0,0,24
"10085",0,3045,0,3744,10127,54,0,279,0,0,8086,0,14,101,69,0,0,0,0,0,0,295,0,0,0,4165,84,0,5348,2150,0,10285,566,7847,233,0,0,0,0,46,139,0,0,0,81,0,296,403,158,0,0,2996,134,0,1699,0,0,1489,37,706,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
"10087",0,990,0,1374,0,1443,0,227,0,0,0,0,53,0,8,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10088",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,2748,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,0,0,0,172,0,81,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
"10089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1264,0,0,0,312,5498,241,0,1522,0,0,8,51,0,0,0,0,0,0,122,0,0,0,2465,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10090",0,761,0,0,0,0,0,330,0,555,0,0,16,181,14,0,0,0,0,0,925,345,0,0,24006,0,182,0,550,0,954,0,0,0,666,0,1075,0,0,0,36,0,0,0,0,0,1038,234,0,0,25029,0,32,0,353,0,0,0,319,0,0,0,0,0,36,33,0,0,0,0,0,60,0,0,0,0,27
"10091",0,1211,2061,0,0,62,0,330,0,0,0,0,19,35,0,0,0,0,0,0,0,59,0,0,0,3338,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,20,4438,0,0,0,0,0,32,0,0,0,0,0,140,0,0,0,0,23
"10092",0,1032,6967,0,0,59,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1061,3986,3647,0,1299,31,279,0,0,0,0,21,34,0,0,0,0,0,0,717,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10093",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1740,0,2854,0,429,0,483,2580,0,6901,0,0,52,0,0,0,0,0,0,171,0,0,0,1197,48,0,1120,0,759,0,42,0,209,5900,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
"10094",0,1533,0,268,11581,455,0,0,0,0,0,0,27,71,0,584,0,0,0,0,136,166,0,0,0,0,63,0,2630,0,2860,9676,140,0,107,1077,1172,0,0,56,194,0,538,0,0,0,884,783,252,0,0,5087,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10095",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1262,0,1224,0,149,0,279,0,0,0,0,133,32,7,0,0,0,0,0,1443,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10097",0,1117,0,1544,0,0,0,0,0,0,0,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10098",0,1693,10213,1017,0,78,0,0,0,0,0,0,29,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,938,5826,0,0,891,0,395,0,86,0,0,11,101,0,0,0,0,0,0,254,0,0,0,1738,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10101",0,1233,0,211,9404,0,0,0,0,0,0,0,0,105,0,515,0,0,0,0,141,340,0,0,0,0,104,0,3312,0,0,9984,842,0,546,7340,782,0,0,49,33,0,523,0,366,0,680,306,394,0,0,5261,40,0,1283,0,0,7447,0,0,0,0,489,0,0,0,0,0,0,374,0,0,0,0,0,0,0
"10107",0,3531,0,1493,12065,122,5566,979,0,430,0,0,0,147,6,589,0,0,0,0,595,342,0,0,0,6229,164,0,2727,0,436,10310,574,0,795,6613,654,0,0,0,218,18,554,0,0,0,501,637,135,0,0,6232,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1582,0,0,0,89,5095,0,0,1110,0,0,13,104,0,0,0,0,0,0,268,0,0,0,3122,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4270,2722,1468,0,109,0,0,0,0,0,0,20,51,0,0,0,0,0,0,238,0,0,0,1065,44,0,838,0,0,0,956,4914,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10111",72,2537,962,0,11915,90,5643,0,0,0,0,7946,0,0,0,0,0,0,0,63,942,153,133,0,0,0,0,113,2672,0,0,10227,44,5484,103,0,147,0,7515,0,0,8,0,0,176,107,5120,2106,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,1467,0,0,0,0,0,0,0,0,0,0,0,0,0
"10112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,0,2771,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1035,0,0,0,9,0,0,6003,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
"10115",0,1135,0,959,12432,73,0,0,19,235,3020,0,47,99,0,0,0,0,0,0,1335,494,460,0,0,4228,117,0,1396,0,197,9827,21,0,0,0,0,0,0,45,40,14,0,0,0,0,255,94,0,0,0,0,27,0,1021,0,669,7644,370,0,0,0,0,0,0,75,7,0,0,0,0,191,222,0,0,437,64
"10117",0,1852,0,854,12203,355,0,273,0,689,3023,0,28,83,0,0,0,0,0,0,1087,381,267,0,0,3736,107,0,4728,8809,138,9812,110,0,569,0,0,0,0,43,110,0,0,0,329,0,1022,515,179,0,0,4689,120,0,1686,0,0,6689,16,0,0,0,0,0,0,38,7,0,0,334,0,68,0,0,0,73,29
"10118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,0,3006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10121",0,358,0,841,0,7,0,99,0,393,0,0,0,77,0,0,0,0,0,0,1108,355,579,0,8946,0,72,0,956,0,0,0,0,0,729,0,408,0,0,0,130,7,0,0,0,0,909,359,0,0,8710,0,118,0,240,0,227,0,0,0,0,0,0,0,0,33,0,0,0,0,0,54,0,0,8581,0,28
"10123",0,1577,0,156,11737,30,0,269,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3874,0,0,10349,125,0,0,0,1092,0,0,0,163,7,0,0,0,0,1194,673,655,0,0,5801,176,0,2914,0,1316,4476,42,0,0,0,643,0,39,33,7,0,0,0,0,138,231,0,0,0,24
"10126",0,1004,0,2505,0,237,0,243,0,0,0,0,127,33,0,45,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10127",0,3317,0,463,12878,443,0,278,9638,472,0,0,0,165,11,0,0,163,0,0,1134,475,0,0,0,2314,185,0,885,0,2610,6892,0,0,0,0,0,0,0,45,33,0,0,0,0,0,0,127,62,0,0,0,24,0,927,0,0,8095,0,0,0,0,0,0,0,74,0,45,0,0,0,778,0,0,0,0,68
"10134",0,1122,0,1299,10641,0,0,76,0,0,0,0,33,35,0,609,0,294,0,0,351,83,0,0,0,0,28,0,3864,2852,496,10271,165,6420,126,0,0,0,0,0,99,0,0,0,172,0,888,449,237,0,0,4380,112,0,696,0,812,8962,0,0,0,0,0,0,37,0,0,0,0,221,0,0,0,0,0,0,0
"10135",0,1413,9445,983,0,258,0,0,0,0,0,0,17,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,914,0,3252,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,2845,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
"10136",0,3224,0,3244,12451,478,0,198,0,0,6172,0,0,115,0,0,0,445,0,0,924,244,0,0,0,2231,125,0,3512,2295,3551,10614,555,5911,0,0,0,0,0,48,108,10,0,0,452,0,865,318,0,0,0,1914,103,0,1764,0,0,5560,388,2897,0,0,0,0,0,40,0,0,0,273,0,78,0,0,0,273,33
"10137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2832,0,0,9318,1405,0,374,0,857,0,0,0,166,0,0,0,0,0,970,735,374,0,0,5127,184,0,1923,2012,1254,5140,78,0,70,0,0,0,30,0,0,0,0,254,0,0,0,0,0,0,0
"10141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2496,0,83,9916,623,0,379,2603,0,0,0,0,139,0,0,0,0,0,808,508,0,0,0,4902,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1267,0,3708,0,786,0,315,0,0,8738,0,23,44,0,0,0,311,0,0,85,0,0,0,0,47,0,983,0,0,0,124,11,225,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
"10143",0,1405,0,106,11495,0,0,0,0,0,0,0,0,91,0,399,0,0,0,0,0,968,0,0,0,161,93,0,3838,0,319,10025,165,2703,0,0,0,0,0,50,117,0,0,0,0,0,1206,453,325,0,0,3267,115,0,1840,0,46,5538,0,0,0,0,0,0,7,0,0,0,0,81,0,0,0,0,0,0,0
"10145",0,2276,0,791,12243,285,0,397,9920,534,0,0,0,85,9,0,0,75,0,0,1511,374,110,0,0,3586,102,0,757,0,0,1934,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,0,0,2026,1061,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10146",0,2740,0,2625,0,2118,0,214,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3196,1745,592,10761,77,5309,211,0,1206,0,0,0,79,0,0,0,404,0,1390,435,138,0,0,2904,100,0,1158,2220,1293,5644,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,2865,1469,10642,823,0,536,6127,0,0,0,44,103,9,0,0,0,0,998,502,769,0,0,4018,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10148",0,2822,0,1774,0,0,0,0,0,0,0,0,85,0,105,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
