"","TOPLD1DAY1","AISLE1DAY1","PSADAY1","EXHIBITIONDAY1","MAINDAY1","POSTERDAY1","PSBDAY1","WC1DAY1","PSCDAY1","ROOM1DAY1","PSDDAY1","ROOM2DAY1","CIDAY1","BOTLD1DAY1","SERVEDAY1","ROOM3DAY1","ROOM4DAY1","WC2DAY1","CIENTRY4DAY1","TOPLD2DAY1","CANTEENDAY1","AISLE2DAY1","WC3DAY1","ROOM6DAY1","ROOM5DAY1","ENTERTAINDAY1","BOTLD2DAY1"
"11901",0,2556,0,0,9746,14,0,0,0,0,0,0,27,175,48,447,0,88,0,0,500,492,230,0,0,146,177
"13041",0,1523,1871,1175,12644,1043,0,362,7113,684,0,0,27,83,0,0,0,539,0,0,1517,353,312,0,0,2206,83
"14533",0,3257,0,1613,11899,101,7901,271,0,362,0,0,9,159,0,0,0,572,0,0,572,668,730,0,0,4820,160
"15110",0,4389,2849,2467,10995,131,0,389,4174,0,0,0,0,84,16,148,0,600,0,0,430,212,0,0,0,5373,78
"15329",0,3853,0,1316,12578,95,0,206,0,0,2384,0,29,91,0,0,0,0,0,0,0,380,358,0,0,5030,116
"15820",0,3791,6157,4688,12474,1484,3561,44,0,0,0,0,233,82,7,0,0,314,0,0,793,198,0,0,0,134,89
"18465",0,1539,0,856,12341,7,0,410,0,0,0,0,0,151,0,0,0,0,0,0,0,141,0,0,0,190,138
"18667",0,1504,0,0,10693,554,0,285,0,0,0,0,0,89,0,0,0,255,0,0,254,1648,0,0,0,0,79
"10167",0,1254,0,0,12063,894,4934,330,0,0,0,0,0,193,0,622,0,367,0,0,1434,1952,0,0,0,8179,185
"13744",0,3820,4462,1332,11876,798,5838,859,0,0,0,0,0,96,0,0,0,0,0,0,691,830,0,0,0,2121,105
"14629",0,3866,0,2390,4199,442,0,566,6467,399,0,0,0,215,0,342,0,114,0,0,1448,720,130,0,0,10774,184
"12615",0,3764,0,3058,12210,127,0,0,0,0,2548,0,0,203,0,28,0,276,0,0,1617,496,53,0,0,112,221
"17561",0,131,0,3248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15293",0,2011,0,1736,8864,1326,0,37,0,0,0,0,28,37,7,0,0,283,0,0,0,144,0,0,0,0,30
"15298",0,1622,0,1418,9452,484,0,0,0,0,0,0,0,102,0,0,0,221,0,0,787,316,292,0,0,315,105
"19255",0,1492,0,2723,10658,21,0,214,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10882",0,3026,0,1470,11797,659,2873,188,6139,0,0,0,0,168,9,0,0,142,0,0,1579,626,464,0,0,4100,166
"15248",0,2330,9828,213,11305,113,0,0,0,0,0,0,27,41,0,558,6831,0,0,0,0,175,0,0,0,0,26
"18601",0,2245,2104,291,11990,1002,0,582,6937,389,0,0,0,108,0,0,0,351,0,0,799,1560,139,0,0,4385,89
"19996",0,4753,0,191,12286,481,0,471,0,202,5621,0,0,222,0,532,0,0,0,0,1106,483,0,0,0,5931,240
"13951",0,459,0,846,6644,0,0,308,0,0,0,0,414,0,7,0,0,174,0,0,0,0,0,0,0,0,0
"10295",0,1516,0,2920,10429,21,0,57,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15214",0,2350,2869,1305,12396,65,0,217,4708,0,0,0,269,182,0,203,0,0,0,0,819,642,170,0,0,6080,208
"18468",0,1828,0,1272,2971,19,0,0,0,0,0,0,0,113,0,746,0,212,0,0,0,321,194,0,0,3441,102
"16747",0,1351,0,1320,10623,0,0,0,0,0,0,0,0,128,10,520,0,155,0,0,632,314,0,0,0,116,124
"17618",0,1883,0,2117,10470,0,0,83,0,0,0,0,0,0,0,798,0,0,0,0,0,0,0,0,0,0,0
"12176",0,2590,0,3282,10737,74,0,325,0,0,2725,0,0,181,0,0,0,0,0,0,1312,483,0,0,0,3807,184
"12463",0,1401,0,1325,12087,0,0,135,0,0,0,0,28,0,9,0,0,513,0,0,0,0,0,0,0,0,0
"13253",0,1601,0,1071,9865,31,0,311,0,0,0,0,31,105,0,611,0,388,0,0,619,311,0,0,0,0,116
"17623",0,2672,0,6535,12154,105,0,143,2998,946,0,0,0,32,10,576,0,0,0,0,894,256,0,0,0,2332,49
"12188",0,2606,0,2861,12929,530,2550,150,0,298,0,0,0,159,0,0,0,167,0,0,335,636,129,0,0,3655,143
"14792",0,1634,0,120,3707,0,0,0,0,0,0,0,29,0,0,0,0,42,0,0,0,0,0,0,0,0,0
"16848",0,2998,0,2223,11913,331,0,0,0,656,6334,0,0,253,17,491,0,340,0,0,1080,2548,0,0,0,3075,257
"19684",0,3392,0,0,11799,495,0,0,0,1154,0,0,29,184,7,645,0,598,0,0,1387,3842,87,0,0,6060,194
"12979",0,3629,1229,0,11575,1367,2031,245,0,676,0,0,0,111,0,473,0,75,0,0,770,326,303,0,0,4774,111
"14612",0,656,0,0,5904,8,0,0,0,0,0,0,28,33,15,0,0,44,0,0,0,49,0,0,0,193,25
"15235",0,3778,0,2191,11112,99,0,429,7997,497,0,0,29,118,9,0,0,0,0,0,1119,486,297,0,0,189,101
"16132",0,677,0,0,12476,0,0,0,0,0,0,0,0,125,0,24,0,0,0,0,0,1334,0,0,0,0,100
"16291",0,2263,1800,0,11910,2220,0,708,2698,669,0,0,28,229,0,0,0,0,0,0,0,580,0,0,0,2944,217
"19224",0,1260,0,1128,10582,8,0,0,0,0,0,0,0,94,17,0,0,225,0,0,448,244,0,0,0,328,96
"10975",0,2961,0,6503,7387,1350,2801,248,0,0,0,0,0,128,0,0,0,198,0,0,5850,611,173,0,0,4133,131
"11783",0,2640,0,2031,12262,80,0,300,7315,271,0,0,0,231,0,0,0,100,0,0,739,699,385,0,0,6012,218
"15766",0,2814,0,0,11099,0,0,0,0,0,0,0,34,45,0,239,0,0,0,0,0,89,0,0,0,37,57
"15605",0,1191,0,1642,11732,0,0,0,0,0,0,0,27,63,8,432,0,0,0,0,214,144,0,0,0,0,45
"16872",0,2509,0,1395,11939,653,2901,0,0,155,0,0,0,96,9,0,0,0,0,0,786,392,0,0,0,5804,92
"11388",0,1436,0,2159,10962,7,0,84,0,0,0,0,0,0,0,721,0,0,0,0,0,0,0,0,0,0,0
"14766",0,1824,0,1050,9350,591,0,256,0,0,0,0,0,90,0,0,0,98,0,0,632,215,0,0,0,444,86
"18236",0,2859,0,1097,11982,781,5475,70,0,243,0,0,26,239,8,0,0,0,0,0,0,835,503,0,0,7270,241
"11476",0,630,0,0,11812,0,0,0,0,0,0,0,0,169,23,0,0,385,0,0,0,337,0,2541,0,0,144
"11979",0,1618,0,1499,9049,236,0,131,0,0,0,0,0,49,17,712,0,0,0,0,0,165,155,0,0,0,46
"14236",0,2497,2637,1767,12377,142,0,0,6547,0,0,0,35,103,0,0,0,0,0,0,774,428,277,0,0,5408,123
"11154",0,3081,0,979,10857,837,0,347,0,824,0,0,0,130,0,586,0,313,0,0,1154,2413,0,0,0,2223,145
"14836",0,2060,0,1025,12837,626,0,1197,0,200,8641,0,0,101,0,0,0,0,0,0,1211,388,712,0,0,3944,128
"19363",0,2408,0,2758,4568,2669,0,110,0,0,0,0,0,77,8,645,0,316,0,0,571,173,0,0,0,412,71
"14515",0,1501,0,1685,9379,638,0,460,0,0,0,0,0,118,7,0,0,0,0,0,1159,188,0,0,0,480,99
"14646",0,2586,0,2734,12157,91,9020,0,0,415,0,0,32,123,0,273,0,119,0,0,740,539,271,0,0,3987,109
"17652",0,4207,0,2242,12218,19,3753,0,0,658,0,0,0,158,0,0,0,0,0,0,1539,395,401,0,0,5613,150
"17860",0,1522,0,0,12059,0,0,0,0,0,0,0,0,44,15,0,0,0,0,0,0,267,379,0,0,415,45
"16040",0,3010,0,1171,12042,700,2676,669,0,0,0,0,0,215,0,0,0,0,0,0,919,465,0,0,0,4709,228
"16971",0,1585,0,1585,11134,0,0,0,0,0,0,0,0,134,16,628,0,62,0,0,0,219,55,0,0,0,94
"17873",0,1517,0,0,10608,0,0,0,0,0,0,0,33,134,0,450,0,418,0,0,143,1394,0,0,0,106,142
"13021",0,4680,1153,1604,12358,488,0,151,0,0,0,0,27,113,0,0,0,531,0,0,1214,465,729,0,0,3684,117
"15115",0,3214,0,1534,11839,71,9728,70,0,0,0,0,0,153,15,0,0,170,0,0,1093,682,403,0,0,4341,166
"15874",0,1200,0,1058,9968,2019,0,0,0,0,0,0,36,40,0,0,0,438,0,0,0,15,0,0,0,0,31
"16711",0,1385,0,1259,11526,28,0,0,0,0,0,0,0,63,22,617,0,298,0,0,256,116,0,0,0,0,49
"18968",0,2427,0,118,11816,0,0,0,0,0,0,0,34,69,0,0,0,304,0,0,0,56,0,0,0,0,74
"15311",0,4218,0,1539,12411,616,0,982,2715,0,0,0,0,176,0,649,0,0,0,0,1417,527,222,0,0,919,177
"15518",0,3037,917,880,11545,110,0,0,0,727,0,0,0,270,9,0,0,0,0,0,856,710,377,0,0,6065,292
"11598",0,746,0,1143,12574,0,0,0,0,0,0,0,0,0,0,318,0,375,0,0,0,0,0,0,0,0,0
"14420",0,1746,0,0,11457,7,0,145,0,0,0,0,35,62,0,588,0,142,0,0,555,176,49,0,0,0,43
"17209",0,2975,0,2011,3448,29,0,0,0,0,0,0,0,32,0,429,0,0,0,0,0,52,0,0,0,3950,24
"13850",0,1107,0,6889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16276",0,906,0,196,12455,9,0,0,0,0,0,0,26,0,0,119,0,167,0,0,0,0,0,0,0,0,0
"18343",0,930,0,0,11947,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,252,136,0,0,439,47
"10375",0,1512,0,2896,10265,401,0,184,0,0,0,0,33,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"11378",0,1238,0,1368,10643,0,0,0,0,0,0,0,0,40,0,0,0,215,0,0,569,106,0,0,0,0,32
"12401",0,1985,0,2015,3615,105,0,0,0,0,0,0,38,33,0,0,0,0,0,0,0,151,0,0,0,0,23
"11523",0,3847,0,640,12419,228,8512,653,0,271,0,0,0,90,8,0,0,297,0,0,831,499,412,0,0,3549,114
"12847",0,313,0,1282,3945,0,0,0,0,0,0,0,27,33,0,0,0,0,0,0,0,71,0,0,0,0,23
"14146",0,3102,0,2287,12725,347,0,69,9743,257,0,0,0,145,25,0,0,0,0,0,510,591,246,0,0,2880,183
"14303",0,1701,0,1194,12410,763,5018,0,0,816,0,0,0,94,0,598,0,539,0,0,1638,311,393,0,0,6630,109
"16879",0,2716,0,1297,12457,578,0,116,0,255,7157,0,0,130,0,506,0,0,0,0,953,549,427,0,0,5731,153
"19011",0,1861,0,2680,12861,838,0,186,6607,0,0,0,0,91,0,0,0,260,0,0,1729,508,82,0,0,4177,100
"12528",0,835,0,3177,10021,0,0,0,0,0,0,0,0,64,0,713,0,0,0,0,353,136,0,0,0,0,52
"13510",0,2581,0,5244,12462,1344,7833,107,0,209,0,0,35,156,7,0,0,387,0,0,1567,336,0,0,0,749,167
"15727",0,1677,0,0,11484,1284,0,0,0,0,0,0,28,0,0,0,0,497,0,0,0,0,0,0,0,0,0
"17815",0,3512,0,0,10143,81,0,0,0,0,0,0,29,62,0,0,0,748,0,0,840,135,0,0,0,0,40
"17191",0,2154,0,2145,12637,303,0,0,6683,658,0,0,7,32,22,0,0,186,0,0,1312,346,237,0,0,2838,45
"11850",0,4547,0,98,12317,166,0,0,5708,538,2672,0,0,105,0,0,0,954,0,0,1464,330,123,0,0,3663,129
"12716",0,2192,0,0,11886,22,0,138,0,0,0,0,36,0,0,512,0,0,0,0,0,0,0,0,0,0,0
"15453",0,2317,0,929,12265,86,0,0,0,240,5710,0,0,249,0,0,0,233,0,0,1180,793,279,0,0,7202,248
"15794",0,920,0,1702,10586,0,0,0,0,0,0,0,0,37,7,415,0,554,0,0,398,87,0,0,0,0,27
"16653",0,1831,0,0,11906,1088,0,0,0,0,0,0,33,0,0,0,0,661,0,0,0,0,0,0,0,0,0
"12735",0,3272,0,2759,2645,417,0,0,0,0,0,0,30,170,14,564,0,57,0,0,0,2170,48,0,0,962,171
"16174",0,1628,0,1102,10058,7,0,0,0,0,0,0,0,41,24,551,0,199,0,0,0,78,0,0,0,0,42
"17791",0,1249,0,902,11856,0,0,0,0,0,0,0,0,48,0,0,0,122,0,0,0,140,374,0,0,0,49
"10516",0,1338,0,2842,10558,14,0,79,0,0,0,0,32,0,0,288,0,0,0,0,0,0,0,0,0,0,0
"12888",0,2271,1828,956,11389,1144,5795,257,0,768,0,0,194,151,9,494,0,0,0,0,673,468,260,0,0,5462,164
"16011",0,2115,0,1707,11994,1058,0,0,0,199,0,0,36,181,16,0,0,666,0,0,1225,390,0,0,0,7375,181
"13556",0,2090,0,1276,12594,75,0,602,0,345,4235,0,32,209,10,126,0,487,0,0,791,583,235,0,0,7905,236
"12924",0,3319,0,2365,11745,99,5461,324,0,564,0,0,33,152,0,0,0,868,0,0,1307,1229,299,0,0,4377,175
"17703",0,3530,7159,951,12469,104,3024,29,0,1155,0,0,0,33,0,0,0,382,0,0,1620,342,408,0,0,1891,54
"13272",0,3302,0,1119,11722,99,5705,364,0,446,0,0,0,119,0,0,0,749,0,0,995,341,0,0,0,6263,101
"14101",0,1638,0,994,10832,0,0,130,0,0,0,0,35,62,29,571,0,83,0,0,863,115,0,0,0,0,43
"16179",0,2097,0,949,12379,766,0,495,0,294,6429,0,0,227,0,0,0,169,0,0,961,507,0,0,0,6126,224
"17121",0,3341,5229,2982,11716,178,0,195,5582,438,0,0,34,187,17,335,0,265,0,0,771,321,0,0,0,1248,158
"19107",0,1868,0,0,12397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19222",0,1169,0,1514,9598,0,0,0,0,0,0,0,34,0,7,739,0,605,0,0,0,0,0,0,0,0,0
"11738",0,1927,0,1077,9469,16,0,0,0,0,0,0,0,33,8,0,0,169,0,0,0,137,72,0,0,0,26
"12611",0,626,0,0,0,0,0,0,0,0,0,0,0,133,14,0,0,0,0,0,0,264,0,2910,0,0,120
"14651",0,3192,0,2742,9431,41,0,356,0,251,2151,0,0,208,39,426,0,0,0,0,0,679,603,0,0,7158,205
"15646",0,1168,0,883,9919,23,0,179,0,0,0,0,34,143,7,0,0,0,0,0,0,441,174,0,0,1184,147
"16590",0,3897,0,0,11144,493,6970,301,0,242,0,0,38,153,0,610,0,199,0,0,1419,428,301,0,0,6472,168
"14288",0,4048,0,1682,12049,85,0,587,6485,519,0,0,34,145,0,0,0,264,0,0,939,444,115,0,0,4397,144
"14386",0,3437,0,160,11482,760,0,79,0,405,6038,0,35,147,28,0,0,413,0,0,1585,724,965,0,0,6312,137
"18613",0,1027,0,848,9281,14,0,0,0,0,0,0,34,33,0,424,0,479,0,0,0,566,0,0,0,0,25
"12523",0,1750,0,336,11637,410,7895,384,0,131,0,0,32,90,0,409,0,260,0,0,866,481,455,0,0,6635,87
"12900",0,1911,9403,1396,11500,489,0,0,0,574,0,0,0,84,0,0,0,0,0,0,1514,372,170,0,0,4236,82
"14396",0,1485,0,2079,10111,0,0,104,0,0,0,0,0,95,0,0,0,0,0,0,392,232,0,0,0,85,96
"18704",0,2535,0,1916,11666,72,9162,223,0,504,0,0,33,52,0,0,0,812,0,0,871,254,267,0,0,4426,47
"11068",0,3177,3245,0,12143,412,0,292,6716,826,0,0,35,112,0,271,0,97,0,0,1271,334,0,0,0,3806,127
"17208",0,2390,0,673,12519,662,5915,202,0,591,0,0,0,217,9,0,0,312,0,0,470,726,0,0,0,2303,214
"14566",0,3636,0,3401,11354,48,0,54,3328,0,0,0,33,191,15,756,0,397,0,0,1329,678,222,0,0,6798,188
"10402",0,759,0,2425,3913,8,0,0,0,0,0,0,36,0,9,0,0,100,0,0,0,0,0,0,0,0,0
"12909",0,1315,0,525,12840,895,0,346,5643,0,2662,0,34,186,0,0,0,0,0,0,1300,713,538,0,0,5773,179
"17327",0,1982,0,939,7584,16,0,0,0,0,0,0,35,32,8,730,0,483,0,0,0,1629,0,0,0,0,24
"11495",0,3783,1320,238,12236,1152,7968,417,0,751,0,0,36,141,0,308,0,0,0,0,1402,257,0,0,0,2919,142
"14790",0,2643,0,1886,12137,726,6407,86,0,0,0,0,0,156,0,342,0,0,0,0,608,692,200,0,0,5964,170
"17110",0,2098,0,1019,10308,0,0,0,0,0,0,0,37,108,0,689,0,0,0,0,749,269,0,0,0,0,91
"18165",0,2403,0,1085,12712,80,0,422,6076,0,2603,0,36,191,9,522,0,0,0,0,1042,530,460,0,0,3915,211
"18232",0,3557,0,3199,12286,122,9065,248,0,0,0,0,38,97,26,0,0,63,0,0,497,555,631,0,0,2175,94
"14987",0,1226,0,1250,10075,7,0,272,0,0,0,0,37,0,0,0,0,428,0,0,0,0,0,0,0,0,0
"15222",0,2079,0,1001,9400,0,0,0,0,0,0,0,0,33,8,341,0,336,0,0,0,126,0,0,0,0,24
"15807",0,2043,0,1368,12763,509,0,0,0,204,0,0,31,176,0,0,0,0,0,0,1200,642,386,0,0,5828,172
"18116",0,3868,0,0,9818,25,0,0,0,0,0,0,37,46,9,0,0,95,0,0,0,124,0,0,0,341,50
"18154",0,956,0,2391,9769,0,0,0,0,0,0,0,0,35,14,0,0,302,0,0,473,103,0,0,0,0,28
"14034",0,2588,2211,1104,12387,359,5228,260,0,449,0,0,0,103,9,381,0,0,0,0,850,361,0,0,0,5388,113
"18581",0,3809,0,2937,12307,587,0,318,6346,307,0,0,34,89,0,0,0,260,0,0,838,519,509,0,0,3290,96
"11955",0,1751,0,0,6528,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12222",0,756,0,859,5958,29,0,211,0,0,0,0,33,0,7,0,0,120,0,0,0,0,0,0,0,0,0
"12894",0,2648,0,0,11556,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10492",0,2348,0,1033,12081,368,0,0,941,0,0,0,0,220,0,0,0,0,0,0,0,2996,769,0,0,5426,206
"11001",0,1204,0,1427,10217,23,0,0,0,0,0,0,33,45,0,552,0,89,0,0,90,171,0,0,0,0,69
"12105",0,2361,0,0,9855,0,0,0,0,0,0,0,33,33,7,493,0,448,0,0,0,142,139,0,0,0,24
"13688",0,2124,0,327,12423,1335,0,49,5970,343,2430,0,40,193,0,0,0,269,0,0,1068,530,0,0,0,3748,228
"17116",0,3145,0,2737,11508,983,6782,0,0,0,0,0,36,146,17,0,0,0,0,0,1061,760,554,0,0,3994,162
"18413",0,2824,0,912,11847,1143,0,312,8367,420,0,0,0,213,0,0,0,0,0,0,921,587,77,0,0,4910,242
"15952",0,1935,0,848,10363,30,0,143,0,0,0,0,0,103,0,0,0,326,0,0,616,259,0,0,0,71,108
"17750",0,1966,0,3180,9268,542,5769,279,0,392,0,0,31,216,0,579,0,170,0,0,434,563,0,0,0,7947,194
"11994",0,885,0,723,12894,8,0,37,0,0,0,0,0,32,0,175,0,142,0,0,0,145,85,0,0,0,24
"18048",0,4696,2843,3196,12231,178,0,177,3698,477,0,0,0,74,0,0,0,374,0,0,1039,231,0,0,0,0,95
"13370",0,1339,0,791,10377,0,0,0,0,0,0,0,0,92,7,332,0,46,0,0,283,226,0,0,0,746,93
"13388",0,1358,0,1177,12171,0,0,0,0,0,0,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0
"18433",0,2371,0,1008,12439,345,0,237,5323,461,0,0,31,173,0,0,0,349,0,0,1073,490,343,0,0,7293,163
"12764",0,128,0,2642,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16494",0,3231,0,2897,12248,94,0,415,2920,243,0,0,33,138,0,0,0,390,0,0,0,441,0,0,0,1977,147
"18848",0,2121,3156,931,12677,433,0,437,5984,488,0,0,33,37,0,0,0,0,0,0,803,155,0,0,0,0,59
"10136",0,3224,0,3244,12451,478,0,198,0,0,6172,0,0,115,0,0,0,445,0,0,924,244,0,0,0,2231,125
"16156",0,6853,0,4770,9904,60,0,402,0,393,4693,0,0,164,0,480,0,322,0,0,477,421,0,0,0,2913,208
"14464",0,899,0,2485,10511,59,0,207,0,0,0,0,35,0,9,257,0,236,0,0,0,0,0,0,0,0,0
"14721",0,1360,0,0,12013,0,0,0,0,0,0,0,0,85,7,0,0,254,0,0,0,1008,0,0,0,0,79
"14806",0,2491,0,1549,12584,995,8262,442,0,0,0,0,0,170,0,0,0,0,0,0,0,545,367,0,0,4641,193
"18395",0,1093,0,2658,10091,0,0,0,0,0,0,0,0,175,10,299,0,0,0,0,111,552,0,0,0,0,159
"10349",0,1286,0,400,9861,794,0,0,0,0,0,0,32,84,0,789,0,0,0,0,1264,312,349,0,0,0,94
"14676",0,869,0,1789,11542,0,0,0,0,0,0,0,26,53,0,0,0,0,0,0,399,130,0,0,0,0,40
"15341",0,881,0,896,11799,0,0,0,0,0,0,0,34,118,16,520,0,0,0,0,0,264,0,0,0,197,107
"18008",0,4244,0,0,12399,70,0,0,0,400,0,0,0,229,0,0,0,930,0,0,1318,488,0,0,0,5444,217
"19637",0,296,0,0,12459,0,0,0,0,0,0,0,0,0,0,0,1921,0,0,0,0,0,0,0,0,0,0
"11203",0,1045,0,0,12412,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,794,0,0,0,0,24
"11803",0,2879,0,10270,11980,58,0,69,2850,473,0,0,149,33,9,0,0,215,0,0,489,328,82,0,0,2857,46
"15379",0,1860,0,687,10775,0,0,167,0,0,0,0,0,40,0,0,0,0,0,0,52,149,383,0,0,0,30
"16491",0,1257,0,768,8950,0,0,0,0,0,0,0,26,47,0,0,0,142,0,0,0,245,309,0,0,1027,49
"17407",0,2233,0,1028,12345,90,0,0,0,0,9619,0,0,103,0,0,0,499,0,0,1057,2163,511,0,0,2831,111
"12474",0,2061,0,2984,11797,784,2717,383,0,436,0,0,0,169,0,0,0,0,0,0,1162,765,569,0,0,3233,162
"15671",0,4039,0,2940,11830,607,5479,182,0,507,0,0,31,137,0,0,0,255,0,0,926,453,241,0,0,4392,117
"18447",0,1013,0,597,11502,8,0,0,0,0,0,0,34,93,0,442,0,163,0,0,632,264,33,0,0,0,79
"19155",0,1419,0,463,12130,274,0,0,0,0,0,0,30,0,0,0,0,471,0,0,0,0,0,0,0,0,0
"11089",0,2974,3182,451,12283,758,3050,337,0,165,0,0,39,96,0,0,0,0,0,0,864,369,0,0,0,4919,109
"18100",0,2187,9801,436,12333,587,0,629,0,1074,0,0,31,38,0,615,0,0,0,0,1462,143,0,0,0,3716,63
"19400",0,2748,0,148,12324,648,0,238,0,243,5888,0,0,191,0,696,0,149,0,0,1329,582,0,0,0,6373,195
"11750",0,2631,0,2713,12327,1370,6811,37,0,0,0,0,37,95,0,529,0,0,0,0,731,495,301,0,0,2997,113
"12914",0,1063,0,1054,11095,0,0,0,0,0,0,0,32,50,8,0,0,0,0,0,668,111,0,0,0,0,38
"17792",0,2786,0,147,12328,949,4908,457,0,535,0,0,33,146,0,248,0,0,0,0,1084,466,99,0,0,7318,184
"11560",0,2611,0,8603,12267,64,0,120,2689,557,0,0,0,33,0,0,0,376,0,0,1119,326,159,0,0,0,39
"11868",0,2431,0,0,10516,7,0,124,0,0,0,0,0,41,0,692,0,215,0,0,337,106,0,0,0,0,34
"10982",0,2436,0,0,12079,57,7495,389,0,384,0,0,34,238,17,0,0,0,0,0,0,1257,560,0,0,6864,236
